Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
17;infrastructure;Casa Paula;6C:D8:19:63:D4:70;;6;No;WPA2,AES-CCM;No;270.0;0;203;0;18;0;0;18;;;Tue Sep  2 16:37:49 2025;Tue Sep  2 16:40:29 2025;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;Sancamilo    ;6C:D8:19:A0:58:38;;6;No;WPA2,AES-CCM;No;130.0;0;80;0;1;0;0;1;;;Tue Sep  2 16:37:49 2025;Tue Sep  2 16:40:29 2025;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;;44:22:7C:F0:80:5B;;1;No;WPA2,WPA,AES-CCM,TKIP;No;360.0;0;46;0;0;0;0;0;;;Tue Sep  2 16:37:50 2025;Tue Sep  2 16:40:26 2025;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;;E4:AB:89:EF:A6:38;;11;No;WPA,None;No;-1.0;0;0;0;5;0;0;5;;;Tue Sep  2 16:37:53 2025;Tue Sep  2 16:40:07 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;WiFi_Mesh-661716;68:9E:29:DB:C6:09;;6;No;WPA2,AES-CCM;No;324.0;0;102;0;0;0;0;0;;;Tue Sep  2 16:37:53 2025;Tue Sep  2 16:40:29 2025;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;MEZA;46:48:B9:0C:E1:80;;1;No;WPA2,AES-CCM;No;270.0;0;88;0;0;0;0;0;;;Tue Sep  2 16:37:53 2025;Tue Sep  2 16:40:25 2025;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;FAMILIA AGUILA MENA;F4:70:ED:60:31:68;;6;No;WPA2,AES-CCM;No;270.0;0;1;0;0;0;0;0;;;Tue Sep  2 16:37:54 2025;Tue Sep  2 16:40:14 2025;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;OMAR_2.4G;58:AF:F1:F8:A0:70;;6;No;WPA2,AES-CCM;No;270.0;0;16;0;2;0;0;2;;;Tue Sep  2 16:38:00 2025;Tue Sep  2 16:40:29 2025;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;;D6:BE:DC:E1:B0:F8;;11;No;WPA2,AES-CCM;No;65.0;0;22;0;0;0;0;0;;;Tue Sep  2 16:38:18 2025;Tue Sep  2 16:40:25 2025;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;Familia CP;2C:B6:C2:2A:88:70;;11;No;WPA2,AES-CCM;No;324.0;0;5;0;0;0;0;0;;;Tue Sep  2 16:38:21 2025;Tue Sep  2 16:40:07 2025;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
27;infrastructure;THE FAMILY_plus;64:64:4A:F1:75:E6;;1;No;WPA2,AES-CCM,TKIP;No;130.0;0;31;0;0;0;0;0;;;Tue Sep  2 16:38:22 2025;Tue Sep  2 16:40:25 2025;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
