LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-09-02 16:46:00,1900-01-00 00:00:00,,44:22:7C:F0:80:5B,-93, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,,44:48:B9:0C:E1:80,-84, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,,74:93:DA:64:85:8F,-86, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,,24:1A:E6:B4:CF:A0,-87, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,,44:22:7C:F0:80:58,-91, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,,D8:59:82:A1:60:CC,-90, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,,90:55:DE:A8:8C:80,-43, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,,46:48:B9:0C:E1:80,-82, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,,90:55:DE:97:B1:18,-90, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,,64:64:4A:F1:75:E6,-91, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,,44:22:7C:F0:80:5B,-92, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,,E4:AB:89:6B:47:40,-81, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,MOVISTAR_E180,44:48:B9:0C:E1:80,-82, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,Eno 6ghz,74:93:DA:64:85:8F,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,QUIÑONES,24:1A:E6:B4:CF:A0,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,,D8:59:82:A1:60:CF,-89, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,Cronet_2,44:22:7C:F0:80:58,-91, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,Motita,D8:59:82:A1:60:CC,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,fh_a88c80,90:55:DE:A8:8C:80,-44, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,MEZA,46:48:B9:0C:E1:80,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,THE FAMILY,90:55:DE:97:B1:18,-90, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,Madeleine,E4:AB:89:6B:47:40,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,Eno 6ghz,74:93:DA:64:85:8F,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,QUIÑONES,24:1A:E6:B4:CF:A0,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:00,1900-01-00 00:00:00,,CE:CA:06:37:55:AD,-84,,0.000000,0.000000,0.000,0.000,Client
2025-09-02 16:46:00,1900-01-00 00:00:00,,6A:B9:D3:21:66:7D,-54, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:01,1900-01-00 00:00:00,fh_a88c80,90:55:DE:A8:8C:80,-48, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:01,1900-01-00 00:00:00,,3E:2A:56:DB:DA:53,-70,,0.000000,0.000000,0.000,0.000,Client
2025-09-02 16:46:01,1900-01-00 00:00:00,,3E:2A:56:DB:DA:53,-71,,0.000000,0.000000,0.000,0.000,Client
2025-09-02 16:46:02,1900-01-00 00:00:00,,40:3F:8C:93:57:DE,-86, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:02,1900-01-00 00:00:00,,74:60:FA:B4:38:F0,-92, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:02,1900-01-00 00:00:00,HUAWEI-B612-38F0,74:60:FA:B4:38:F0,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,,E8:A6:60:81:E7:E8,-85, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,,2C:B6:C2:2A:88:70,-90, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,,44:48:B9:4E:EB:90,-88, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,,BC:7F:7B:0E:E9:60,-91, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,,E8:A6:60:81:E7:EB,-87, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,balti 2.4,E8:A6:60:81:E7:E8,-88, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,MEZA,44:48:B9:4E:EB:90,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,,E8:A6:60:81:E7:EB,-87, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,balti 2.4,E8:A6:60:81:E7:E8,-86, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,,6C:D8:19:63:D4:70,-78, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,,6C:D8:19:A0:58:38,-85, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,Care-APC0820T7CCMK2S,6A:B9:D3:21:66:7D,-58, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,,F4:70:ED:60:31:68,-84, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,,64:BB:1E:D9:4C:DC,-85,,0.000000,0.000000,0.000,0.000,Client
2025-09-02 16:46:03,1900-01-00 00:00:00,Casa Paula,6C:D8:19:63:D4:70,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,,68:9E:29:DB:C6:09,-87, ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,Care-APC0820T7CCMK2S,6A:B9:D3:21:66:7D,-56, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,FAMILIA AGUILA MENA,F4:70:ED:60:31:68,-82, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,,E8:A6:60:81:E7:EB,-87, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,,E8:A6:60:81:E7:EB,-84, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,balti 2.4,E8:A6:60:81:E7:E8,-84, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,balti 2.4,E8:A6:60:81:E7:E8,-84, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,balti 2.4,E8:A6:60:81:E7:E8,-84, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,balti 2.4,E8:A6:60:81:E7:E8,-84, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,balti 2.4,E8:A6:60:81:E7:E8,-85, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,balti 2.4,E8:A6:60:81:E7:E8,-85, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,balti 2.4,E8:A6:60:81:E7:E8,-85, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,balti 2.4,E8:A6:60:81:E7:E8,-86, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,balti 2.4,E8:A6:60:81:E7:E8,-85, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,balti 2.4,E8:A6:60:81:E7:E8,-87, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,Motita,D8:59:82:A1:60:CC,-92, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-09-02 16:46:03,1900-01-00 00:00:00,fh_a88c80,90:55:DE:A8:8C:80,-54, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
