Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;fh_a88c80;90:55:DE:A8:8C:80;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;139;0;597;0;0;597;;;Tue Sep  2 16:51:17 2025;Tue Sep  2 16:53:35 2025;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;QUIÑONES;24:1A:E6:B4:CF:A0;;1;No;WPA2,AES-CCM;No;270.0;0;75;0;3;0;0;3;;;Tue Sep  2 16:51:17 2025;Tue Sep  2 16:53:35 2025;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Eno 6ghz;74:93:DA:64:85:8F;;1;No;WPA2,AES-CCM;No;260.0;0;99;0;5;0;0;5;;;Tue Sep  2 16:51:17 2025;Tue Sep  2 16:53:35 2025;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;;D8:59:82:A1:60:CF;;1;No;WPA2,WPA,AES-CCM,TKIP;No;360.0;0;67;0;1;0;0;1;;;Tue Sep  2 16:51:17 2025;Tue Sep  2 16:53:35 2025;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Cronet_2;44:22:7C:F0:80:58;;1;No;WPA2,AES-CCM;No;360.0;0;72;0;1;0;0;1;;;Tue Sep  2 16:51:17 2025;Tue Sep  2 16:53:35 2025;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Motita;D8:59:82:A1:60:CC;;1;No;WPA2,AES-CCM;No;360.0;0;68;0;1;0;0;1;;;Tue Sep  2 16:51:17 2025;Tue Sep  2 16:53:35 2025;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;THE FAMILY;90:55:DE:97:B1:18;;1;No;WPA2,AES-CCM;No;130.0;0;53;0;7;0;0;7;;;Tue Sep  2 16:51:17 2025;Tue Sep  2 16:53:35 2025;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;;44:22:7C:F0:80:5B;;1;No;WPA2,WPA,AES-CCM,TKIP;No;360.0;0;68;0;1;0;0;1;;;Tue Sep  2 16:51:17 2025;Tue Sep  2 16:53:35 2025;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Casa Paula;6C:D8:19:63:D4:70;;6;No;WPA2,AES-CCM;No;270.0;0;161;0;20;0;0;20;;;Tue Sep  2 16:51:17 2025;Tue Sep  2 16:53:34 2025;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;HUAWEI-B612-38F0;74:60:FA:B4:38:F0;;5;No;WPA2,AES-CCM;No;130.0;0;105;0;6;0;0;6;;;Tue Sep  2 16:51:19 2025;Tue Sep  2 16:53:34 2025;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;balti 2.4;E8:A6:60:81:E7:E8;;11;No;WPA2,WPA,AES-CCM;No;360.0;0;113;0;390;0;0;390;;;Tue Sep  2 16:51:19 2025;Tue Sep  2 16:53:34 2025;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;;E8:A6:60:81:E7:EB;;11;No;WPA2,WPA,AES-CCM,TKIP;No;360.0;0;122;0;22;0;0;22;;;Tue Sep  2 16:51:20 2025;Tue Sep  2 16:53:34 2025;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;;86:EA:ED:D3:28:D4;;11;No;WPA2,AES-CCM;No;65.0;0;82;0;0;0;0;0;;;Tue Sep  2 16:51:20 2025;Tue Sep  2 16:53:34 2025;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;CARDENAS;BC:7F:7B:0E:E9:60;;11;No;WPA2,AES-CCM;No;270.0;0;116;0;0;0;0;0;;;Tue Sep  2 16:51:20 2025;Tue Sep  2 16:53:34 2025;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;;E4:AB:89:EF:A6:38;;11;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Tue Sep  2 16:51:20 2025;Tue Sep  2 16:51:52 2025;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;WiFi_Mesh-661716;68:9E:29:DB:C6:09;;6;No;WPA2,AES-CCM;No;324.0;0;106;0;0;0;0;0;;;Tue Sep  2 16:51:20 2025;Tue Sep  2 16:53:34 2025;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;Care-APC0820T7CCMK2S;6A:B9:D3:21:66:7D;;6;No;OPN,None;No;54.0;0;101;0;0;0;0;0;;;Tue Sep  2 16:51:20 2025;Tue Sep  2 16:53:34 2025;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
